,SMSCG,NDOI,Tide
11/22/1923,1,5592.969458,6.052500248
11/23/1923,1,5595.081537,6.179900169
11/24/1923,1,5596.987998,6.260700226
11/25/1923,1,5598.717742,6.109699726
11/26/1923,1,5600.299669,5.95179987
11/27/1923,1,5601.762678,5.631599903
11/28/1923,1,5603.135671,5.151400089
11/29/1923,1,5604.447548,4.636400223
11/30/1923,1,5605.727208,4.47110033
12/1/1923,1,5607.003552,4.493599892
12/2/1923,1,5608.305479,4.535599709
12/3/1923,1,5609.661891,4.795599937
12/4/1923,1,5611.101688,5.936599731
12/5/1923,1,5612.653768,7.01240015
12/6/1923,1,5614.347034,7.8604002
12/7/1923,1,5616.210385,8.444499969
12/8/1923,1,5618.27272,8.558799744
12/9/1923,1,5620.562941,8.280399323
12/10/1923,1,5623.109947,7.709700108
12/11/1923,1,5625.942639,6.87130022
12/12/1923,1,5629.089917,5.818200111
12/13/1923,1,5632.580681,5.086900234
12/14/1923,1,5636.443831,4.655600071
12/15/1923,1,5640.708268,4.282299995
12/16/1923,1,5647.686041,4.03429985
12/17/1923,1,5670.722815,4.554900169
12/18/1923,1,5711.154064,5.153700352
12/19/1923,1,5767.989654,5.576600075
12/20/1923,1,5840.239453,6.0625
12/21/1923,1,5926.913324,6.317200184
12/22/1923,1,6027.021136,6.610099792
12/23/1923,1,6139.572752,6.670600414
12/24/1923,1,6263.57804,6.653100014
12/25/1923,1,6398.046865,6.48239994
12/26/1923,1,6541.989093,6.054399967
12/27/1923,1,6694.41459,5.536200047
12/28/1923,1,6854.333222,4.878799915
12/29/1923,1,7020.754855,4.675600052
12/30/1923,1,7192.689355,4.475200176
12/31/1923,1,7369.146588,4.354999542
1/1/1924,1,7549.136419,5.35710001
1/2/1924,1,7731.668715,6.380199909
1/3/1924,1,7915.753341,7.348700047
1/4/1924,1,8100.400164,8.049699783
1/5/1924,1,8284.619049,8.374500275
1/6/1924,1,8467.419862,8.350099564
1/7/1924,1,8647.812469,8.073800087
1/8/1924,1,8824.806737,7.449399948
1/9/1924,1,8997.41253,6.48210001
1/10/1924,1,9164.639716,5.402100086
1/11/1924,1,9325.498159,4.777699947
1/12/1924,1,9478.997726,4.215899944
1/13/1924,1,9624.148283,3.705699921
1/14/1924,1,9759.959695,3.81619978
1/15/1924,1,9885.441829,4.269500256
1/16/1924,1,10001.61745,4.853600025
1/17/1924,1,10119.74463,5.419199944
1/18/1924,1,10241.28266,5.829800129
1/19/1924,1,10365.69689,6.318600178
1/20/1924,1,10492.45268,6.634199619
1/21/1924,1,10621.01539,6.770699978
1/22/1924,1,10750.85039,6.848799706
1/23/1924,1,10881.42303,6.603899956
1/24/1924,1,11012.19867,6.137900352
1/25/1924,1,11142.64267,5.440899849
1/26/1924,1,11272.22039,4.944700241
1/27/1924,1,11400.3972,4.552100182
1/28/1924,1,11526.63844,4.257400036
1/29/1924,1,11650.40949,4.932099819
1/30/1924,1,11771.1757,5.697100163
1/31/1924,1,11888.40243,6.451900005
2/1/1924,1,12001.55504,7.097199917
2/2/1924,1,12110.09889,7.51970005
2/3/1924,1,12213.49934,7.686200142
2/4/1924,1,12311.22175,7.625899792
2/5/1924,1,12402.73148,7.278999805
2/6/1924,1,12487.49389,6.602399826
2/7/1924,1,12564.97434,5.764100075
2/8/1924,1,12634.63819,4.878499985
2/9/1924,1,12695.9508,4.248000145
2/10/1924,1,12748.37753,3.663199902
2/11/1924,1,12791.38374,3.531900167
2/12/1924,1,12824.43479,3.64109993
2/13/1924,1,12846.99603,3.925800323
2/14/1924,1,12858.53284,4.354800224
2/15/1924,1,12858.21464,4.873399734
2/16/1924,1,12844.22171,5.449100018
2/17/1924,1,12816.97681,5.904699802
2/18/1924,1,12777.25312,6.263800144
2/19/1924,1,12725.82379,6.547600269
2/20/1924,1,12663.46202,6.546299934
2/21/1924,1,12590.94097,6.278600216
2/22/1924,1,12509.03381,5.628000259
2/23/1924,1,12418.51372,5.112100124
2/24/1924,1,12320.15387,4.781000137
2/25/1924,1,12214.72743,4.949800014
2/26/1924,1,12103.00758,5.120100021
2/27/1924,1,11985.76749,5.325099945
2/28/1924,1,11863.78033,5.611999989
2/29/1924,1,11737.81928,5.999700069
3/1/1924,1,11608.6575,6.322899818
3/2/1924,1,11477.06818,6.567699909
3/3/1924,1,11343.82448,6.608300209
3/4/1924,1,11209.69958,6.420700073
3/5/1924,1,11075.46665,6.041699886
3/6/1924,1,10941.89887,5.460800171
3/7/1924,1,10809.7694,4.687600136
3/8/1924,1,10679.85142,4.303600311
3/9/1924,1,10552.91811,4.186299801
3/10/1924,1,10429.74263,4.067500114
3/11/1924,1,10311.09816,3.913599968
3/12/1924,1,10197.75788,3.745900154
3/13/1924,1,10090.49495,3.779799938
3/14/1924,1,9990.082546,3.970099926
3/15/1924,1,9897.293846,4.299600124
3/16/1924,1,9812.028835,4.782600403
3/17/1924,1,9729.487758,5.289000034
3/18/1924,1,9648.7175,5.62899971
3/19/1924,1,9569.601041,5.864500046
3/20/1924,1,9492.02136,5.778699875
3/21/1924,1,9415.861438,5.512700081
3/22/1924,1,9341.004253,5.512899876
3/23/1924,1,9267.332786,5.854599953
3/24/1924,1,9194.730015,6.023499966
3/25/1924,1,9123.07892,6.04640007
3/26/1924,1,9052.262482,5.894000053
3/27/1924,1,8982.163679,5.682299614
3/28/1924,1,8912.665491,5.507899761
3/29/1924,1,8843.650898,5.416199684
3/30/1924,1,8775.002879,5.394899845
3/31/1924,1,8706.604414,5.383100033
4/1/1924,1,8638.338482,5.199300289
4/2/1924,1,8570.088064,5.129600048
4/3/1924,1,8501.736137,4.784800053
4/4/1924,1,8433.165683,4.920399666
4/5/1924,1,8364.25968,5.01279974
4/6/1924,1,8294.901109,4.910999775
4/7/1924,1,8224.972948,5.008500099
4/8/1924,1,8154.358178,4.809999943
4/9/1924,1,8082.939778,4.524800301
4/10/1924,1,8010.600727,4.182299614
4/11/1924,1,7937.224005,3.96750021
4/12/1924,1,7862.692592,3.873999834
4/13/1924,1,7786.889467,3.9781003
4/14/1924,1,7709.69761,4.268599987
4/15/1924,1,7631,4.725699902
4/16/1924,1,7549.701098,5.041499615
4/17/1924,1,7464.993512,5.227799892
4/18/1924,1,7377.192439,5.806399822
4/19/1924,1,7286.613077,6.517399788
4/20/1924,1,7193.570625,7.047200203
4/21/1924,1,7098.380282,7.015299797
4/22/1924,1,7001.357246,7.267000198
4/23/1924,1,6902.816715,6.911200047
4/24/1924,1,6803.073887,6.338000298
4/25/1924,1,6702.443961,5.680699825
4/26/1924,1,6601.242135,5.139200211
4/27/1924,1,6499.783608,5.105800152
4/28/1924,1,6398.383578,4.997399807
4/29/1924,1,6297.357243,4.959100246
4/30/1924,1,6197.019801,4.802599907
5/1/1924,1,6097.686452,5.076200008
5/2/1924,1,5999.672392,5.359600067
5/3/1924,1,5903.292822,5.638200283
5/4/1924,1,5808.862938,5.657999992
5/5/1924,1,5716.69794,5.731499672
5/6/1924,1,5627.113026,5.49420023
5/7/1924,1,5540.423393,5.460900307
5/8/1924,1,5456.944241,5.21750021
5/9/1924,1,5376.990768,4.838300228
5/10/1924,1,5300.878172,4.428600311
5/11/1924,1,5228.921652,4.177700043
5/12/1924,1,5161.436405,4.358299732
5/13/1924,1,5098.737631,4.535399914
5/14/1924,1,5041.140527,4.784500122
5/15/1924,1,4988.960292,5.033800125
5/16/1924,1,4941.755253,5.971099854
5/17/1924,1,4895.221859,7.003000259
5/18/1924,1,4848.720322,7.699399948
5/19/1924,1,4802.359113,8.024299622
5/20/1924,1,4756.2467,8.072299957
5/21/1924,1,4710.491556,7.925799847
5/22/1924,1,4665.202149,7.495899677
5/23/1924,1,4620.48695,6.67689991
5/24/1924,1,4576.454429,5.719399929
5/25/1924,1,4533.213056,5.368700027
5/26/1924,1,4490.871301,5.125
5/27/1924,1,4449.537635,4.857699871
5/28/1924,1,4409.320527,4.595099926
5/29/1924,1,4370.328447,5.174399853
5/30/1924,1,4332.669866,5.509799957
5/31/1924,1,4296.453254,5.910900116
6/1/1924,1,4261.78708,6.067299843
6/2/1924,1,4228.779816,6.232300282
6/3/1924,1,4197.539931,6.184899807
6/4/1924,1,4168.175895,6.071400166
6/5/1924,1,4140.796178,5.870900154
6/6/1924,1,4115.509251,5.727799892
6/7/1924,1,4092.423583,5.302600384
6/8/1924,1,4071.647645,4.846400261
6/9/1924,1,4053.289907,4.710599899
6/10/1924,1,4037.458839,4.735800266
6/11/1924,1,4024.26291,4.750800133
6/12/1924,1,4013.810592,4.724500179
6/13/1924,1,4006.210354,5.790800095
6/14/1924,1,4001.570667,6.88010025
6/15/1924,1,4000,7.709300041
6/16/1924,1,4000,8.256400108
6/17/1924,1,4000,8.576700211
6/18/1924,1,4000,8.436900139
6/19/1924,1,4000,7.953800201
6/20/1924,1,4000,7.532999992
6/21/1924,1,4000,6.500999928
6/22/1924,1,4000,5.663600445
6/23/1924,1,4000,5.19630003
6/24/1924,1,4000,4.754899979
6/25/1924,1,4000,4.386600018
6/26/1924,1,4000,4.786100388
6/27/1924,1,4000,5.220399857
6/28/1924,1,4000,5.721400261
6/29/1924,1,4000,6.010800362
6/30/1924,0,4000,6.292599678
7/1/1924,0,4000,6.454699993
7/2/1924,0,4000,6.458800316
7/3/1924,0,4000,6.420899868
7/4/1924,0,4000,6.099400043
7/5/1924,0,4000,6.00369978
7/6/1924,0,4000,5.596600056
7/7/1924,0,4000,5.044000149
7/8/1924,0,4000,4.89289999
7/9/1924,0,4000,4.736599922
7/10/1924,0,4000,4.90599966
7/11/1924,0,4000,5.313300133
7/12/1924,0,4000,6.274199963
7/13/1924,0,4000,7.128399849
7/14/1924,0,4000,7.874400139
7/15/1924,0,4000,8.364600182
7/16/1924,0,3999.227955,8.458100319
7/17/1924,0,3993.202645,8.122699738
7/18/1924,0,3981.538048,7.339000225
7/19/1924,0,3964.636971,7.031400204
7/20/1924,0,3942.902219,5.980899811
7/21/1924,0,3916.736598,5.284999847
7/22/1924,0,3886.542916,4.641599655
7/23/1924,0,3852.723977,4.081399918
7/24/1924,0,3815.682589,4.281199932
7/25/1924,0,3775.821557,4.607000351
7/26/1924,0,3733.543688,5.039099693
7/27/1924,0,3689.251787,5.456600189
7/28/1924,0,3643.348662,5.8677001
7/29/1924,0,3596.237119,6.206000328
7/30/1924,0,3548.319962,6.377399921
7/31/1924,0,3500,6.534900188
8/1/1924,0,3451.680038,6.366400242
8/2/1924,0,3403.762881,6.15199995
8/3/1924,0,3356.651338,5.855400085
8/4/1924,0,3310.748213,5.389899731
8/5/1924,0,3266.456312,5.032299995
8/6/1924,0,3224.178443,4.704699516
8/7/1924,0,3184.317411,4.720699787
8/8/1924,0,3147.276023,5.377399921
8/9/1924,0,3113.457084,5.689100266
8/10/1924,0,3083.263402,6.353900433
8/11/1924,0,3057.097781,7.045599937
8/12/1924,0,3035.363029,7.571000099
8/13/1924,0,3018.461952,7.813899994
8/14/1924,0,3006.797355,7.686199665
8/15/1924,0,3000.772045,7.19879961
8/16/1924,0,3000,6.492099762
8/17/1924,0,3000,6.060500145
8/18/1924,0,3000,5.056300163
8/19/1924,0,3000,4.524800301
8/20/1924,0,3000,3.926500082
8/21/1924,0,3000,3.95630002
8/22/1924,0,3000,4.149600029
8/23/1924,0,3000,4.161399841
8/24/1924,0,3000,4.565899849
8/25/1924,0,3000,5.015799999
8/26/1924,0,3000,5.417500019
8/27/1924,0,3000,5.770900249
8/28/1924,0,3000,6.11590004
8/29/1924,0,3000,6.122400284
8/30/1924,0,3000,6.039400101
8/31/1924,1,3000,5.714099884
9/1/1924,1,3000,5.265799999
9/2/1924,1,3000,5.010799885
9/3/1924,1,3000,4.860899925
9/4/1924,1,3000,5.090100288
9/5/1924,1,3000,5.345999718
9/6/1924,1,3000,5.667900085
9/7/1924,1,3000,5.76210022
9/8/1924,1,3000,6.137599945
9/9/1924,1,3000,6.515600204
9/10/1924,1,3000,6.74849987
9/11/1924,1,3000,6.721299648
9/12/1924,1,3000,6.484099865
9/13/1924,1,3000,5.985099792
9/14/1924,1,3000,5.313300133
9/15/1924,1,3000,4.916699886
9/16/1924,1,3000.176927,4.586699486
9/17/1924,1,3000.705872,4.481200218
9/18/1924,1,3001.584085,4.21239996
9/19/1924,1,3002.808812,4.023099899
9/20/1924,1,3004.377303,3.933300018
9/21/1924,1,3006.286806,4.011700153
9/22/1924,1,3008.534568,4.02670002
9/23/1924,1,3011.117838,4.422500134
9/24/1924,1,3014.033864,4.861299992
9/25/1924,1,3017.279895,5.209700108
9/26/1924,1,3020.853178,5.420499802
9/27/1924,1,3024.750962,5.440500259
9/28/1924,1,3028.970495,5.254700184
9/29/1924,1,3033.509024,5.310299873
9/30/1924,1,3038.363799,5.834100246
10/1/1924,1,3043.532068,6.12650013
10/2/1924,1,3049.011078,6.124399662
10/3/1924,1,3054.798078,5.984499931
10/4/1924,1,3060.890316,5.768000126
10/5/1924,1,3067.285041,5.555600166
10/6/1924,1,3073.979499,5.479399681
10/7/1924,1,3080.970941,5.548999786
10/8/1924,1,3088.256613,5.590499878
10/9/1924,1,3095.833764,5.577600002
10/10/1924,1,3103.699642,5.552899837
10/11/1924,1,3111.851496,5.325399876
10/12/1924,1,3120.286573,5.417600155
10/13/1924,1,3129.002122,5.452600002
10/14/1924,1,3137.995391,5.535099983
10/15/1924,1,3147.263628,5.338299751
10/16/1924,1,3159.325606,5.109999657
10/17/1924,1,3188.792732,4.723599911
10/18/1924,1,3236.867704,4.368100166
10/19/1924,1,3302.174474,4.042900085
10/20/1924,1,3383.336996,3.843699932
10/21/1924,1,3478.979221,3.827600002
10/22/1924,1,3587.725102,3.930700064
10/23/1924,1,3708.198593,4.315199852
10/24/1924,1,3839.023645,4.637800217
10/25/1924,1,3978.824211,4.822799683
10/26/1924,1,4126.224244,5.426799774
10/27/1924,1,4279.847697,6.158699989
10/28/1924,1,4438.318522,6.947099686
10/29/1924,1,4600.260671,7.314099789
10/30/1924,1,4764.298098,7.424200058
10/31/1924,0,4929.054755,7.215600014
11/1/1924,0,5093.154595,6.732299805
11/2/1924,0,5255.22157,6.111199856
11/3/1924,0,5413.879633,5.477300167
11/4/1924,0,5567.752736,5.121399879
11/5/1924,0,5715.464833,5.150700092
