,Emmaton,Jersey Point,Collinsville,Rock Slough,Antioch,Mallard,LosVaqueros,Martinez,MiddleRiver,Vict Intake,CVP Intake,CCFB_OldR
1940-03-21,175.7071533203125,197.1330108642578,179.46273803710938,221.38951110839844,217.24893188476562,187.38003540039062,352.73577880859375,337.6556701660156,381.5749206542969,414.9456481933594,350.5311279296875,353.8121337890625
1940-03-22,175.83853149414062,195.81475830078125,179.37200927734375,218.4085693359375,215.2882537841797,186.57705688476562,348.0613098144531,337.2797546386719,373.7074279785156,408.0014343261719,344.9139099121094,345.9530334472656
1940-03-23,175.86407470703125,194.71978759765625,179.2215576171875,216.16893005371094,213.43936157226562,186.35455322265625,342.9603271484375,315.5531921386719,367.05938720703125,400.6932373046875,340.7279052734375,340.5744323730469
1940-03-24,175.6980438232422,193.7007293701172,179.01158142089844,214.1148223876953,211.477294921875,186.16165161132812,336.5029296875,327.1971130371094,360.7276306152344,392.5480041503906,337.10321044921875,337.660400390625
1940-03-25,175.57705688476562,192.74522399902344,178.56326293945312,212.334716796875,210.5502166748047,185.8529815673828,334.5670471191406,338.9920654296875,356.42730712890625,391.5252685546875,332.5497131347656,333.41400146484375
1940-03-26,175.57762145996094,192.11558532714844,178.31101989746094,210.73233032226562,208.2583770751953,185.62698364257812,328.5605163574219,358.14703369140625,352.8540954589844,385.86322021484375,331.33721923828125,332.75225830078125
1940-03-27,176.18960571289062,192.29269409179688,178.1712646484375,210.43504333496094,209.3440704345703,185.91250610351562,326.5422668457031,347.2605285644531,353.014404296875,384.4542541503906,329.65557861328125,328.4244384765625
1940-03-28,177.3313446044922,193.674072265625,179.28659057617188,212.29617309570312,209.691650390625,187.1675262451172,334.12628173828125,357.0715026855469,357.6697082519531,400.6661071777344,333.0533447265625,334.63958740234375
1940-03-29,177.9739227294922,195.68434143066406,179.75311279296875,214.41253662109375,209.71517944335938,188.06375122070312,332.6044006347656,343.68072509765625,361.274658203125,403.1117858886719,344.59417724609375,343.7552490234375
1940-03-30,182.365966796875,201.88784790039062,181.29078674316406,221.24351501464844,212.18995666503906,189.19573974609375,347.3205871582031,318.4355163574219,391.0990905761719,436.4146728515625,363.2115783691406,356.0694580078125
1940-03-31,189.5455322265625,212.5449981689453,188.18406677246094,234.13101196289062,220.27969360351562,194.23846435546875,380.4854736328125,312.4501953125,431.7004089355469,507.35693359375,403.0086364746094,389.7245788574219
1940-04-01,192.4525909423828,222.45777893066406,193.2959747314453,249.04002380371094,227.56524658203125,199.8737030029297,409.4097595214844,371.8094482421875,456.9604797363281,578.5230102539062,432.2546691894531,404.14727783203125
1940-04-02,193.7825927734375,230.65916442871094,196.96522521972656,264.7477722167969,235.48782348632812,203.42001342773438,448.5221862792969,610.5667114257812,512.4004516601562,596.023193359375,429.32171630859375,376.65313720703125
1940-04-03,196.4048614501953,237.75979614257812,200.6928253173828,281.5179138183594,240.47108459472656,205.37986755371094,476.5589904785156,932.2730102539062,579.8619384765625,630.3062133789062,465.86602783203125,362.44696044921875
1940-04-04,195.30686950683594,241.6278839111328,203.56338500976562,296.2557373046875,246.2168426513672,208.26675415039062,464.4440612792969,1221.2366943359375,619.8143310546875,632.836669921875,458.7769470214844,384.7226257324219
1940-04-05,188.71383666992188,242.24752807617188,204.01783752441406,308.7042236328125,249.72787475585938,210.85543823242188,440.5383605957031,1485.3446044921875,626.2164306640625,601.7794189453125,441.0606384277344,361.8238830566406
1940-04-06,184.46820068359375,242.00009155273438,201.1665496826172,318.3403625488281,250.71873474121094,211.3121337890625,422.22674560546875,1873.86865234375,619.9751586914062,559.6887817382812,408.4266357421875,341.9151306152344
1940-04-07,183.64593505859375,241.29054260253906,198.9150848388672,323.99053955078125,248.88575744628906,209.76425170898438,403.5830078125,2138.525146484375,602.0767211914062,518.6892700195312,380.14337158203125,334.8565368652344
1940-04-08,183.46475219726562,240.54425048828125,198.22433471679688,325.2784423828125,247.19654846191406,208.57022094726562,389.2720947265625,2363.689697265625,576.6256713867188,482.9778137207031,360.8736267089844,331.4758605957031
1940-04-09,183.7010040283203,240.53207397460938,198.55943298339844,325.81964111328125,246.72265625,208.00540161132812,375.163818359375,2629.591064453125,547.5477905273438,443.3680725097656,350.31085205078125,329.1639099121094
1940-04-10,184.00225830078125,240.58619689941406,199.10118103027344,323.3470764160156,244.3482666015625,208.3421173095703,366.42315673828125,2910.365478515625,519.913330078125,410.7217102050781,349.6101379394531,330.345458984375
1940-04-11,183.906982421875,240.25473022460938,198.91868591308594,320.0851745605469,241.48927307128906,208.4445343017578,363.15338134765625,3071.602783203125,496.2893371582031,387.8968811035156,350.65594482421875,331.1195373535156
1940-04-12,183.70814514160156,239.52178955078125,198.3836669921875,317.3034362792969,239.67239379882812,208.09426879882812,362.53729248046875,3140.115234375,476.9671630859375,373.751220703125,351.36199951171875,331.7093505859375
